epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.82,1.06487,3.34703,1.25567,0.63176,0.47684,0.51325,0.34085,1.15014,1.78344,1.28686,0.000138115,0.000138115,0.000138115
2,319.716,1.16264,2.01296,1.32946,0.64285,0.54982,0.58726,0.38196,1.15791,1.52424,1.31959,0.00026797,0.00026797,0.00026797
3,443.944,1.16555,1.80544,1.32936,0.56735,0.45059,0.47621,0.28914,1.2853,1.67765,1.41348,0.000388651,0.000388651,0.000388651
4,568.967,1.17902,1.76449,1.34261,0.61923,0.4868,0.52497,0.33826,1.22008,1.57044,1.36353,0.000375717,0.000375717,0.000375717
5,692.564,1.1584,1.66232,1.32964,0.61749,0.50792,0.53915,0.35052,1.21273,1.55097,1.35642,0.000361956,0.000361956,0.000361956
6,816,1.13822,1.58116,1.31615,0.63914,0.53912,0.59073,0.38278,1.19409,1.42719,1.32771,0.000348195,0.000348195,0.000348195
7,939.936,1.1168,1.50791,1.30609,0.68429,0.55387,0.61777,0.40352,1.20024,1.36503,1.34329,0.000334434,0.000334434,0.000334434
8,1064.93,1.10418,1.4478,1.29598,0.68194,0.54388,0.60712,0.40188,1.1788,1.37829,1.32637,0.000320673,0.000320673,0.000320673
9,1191.1,1.09396,1.39183,1.28659,0.70325,0.58944,0.65218,0.43296,1.14739,1.24325,1.28962,0.000306912,0.000306912,0.000306912
10,1315.94,1.08034,1.34942,1.27682,0.69165,0.58766,0.65108,0.44012,1.13798,1.25031,1.29847,0.000293151,0.000293151,0.000293151
11,1441.12,1.07514,1.30576,1.2712,0.70108,0.60918,0.67233,0.4507,1.14774,1.21327,1.27302,0.00027939,0.00027939,0.00027939
12,1564.75,1.05053,1.25514,1.25358,0.72236,0.59758,0.67134,0.45651,1.13287,1.19819,1.27542,0.000265629,0.000265629,0.000265629
13,1689.81,1.04103,1.23295,1.24749,0.72277,0.61368,0.68209,0.46633,1.12545,1.20204,1.27329,0.000251868,0.000251868,0.000251868
14,1814.77,1.03032,1.18707,1.23599,0.73448,0.62416,0.68911,0.46996,1.11676,1.17622,1.25357,0.000238107,0.000238107,0.000238107
15,1939.95,1.0142,1.15199,1.22413,0.73798,0.62555,0.69295,0.46992,1.12857,1.12267,1.2583,0.000224346,0.000224346,0.000224346
16,2063.69,1.01041,1.12838,1.222,0.75266,0.63535,0.70222,0.48956,1.09013,1.10922,1.24534,0.000210585,0.000210585,0.000210585
17,2191.72,1.00117,1.10222,1.21391,0.74741,0.62975,0.70981,0.48586,1.09636,1.10141,1.24263,0.000196824,0.000196824,0.000196824
18,2328.99,0.98684,1.08093,1.20546,0.76119,0.64905,0.72255,0.50498,1.08805,1.06346,1.2319,0.000183063,0.000183063,0.000183063
19,2457.94,0.98038,1.05952,1.19788,0.76518,0.65186,0.72441,0.50648,1.06081,1.05189,1.22758,0.000169302,0.000169302,0.000169302
20,2581.07,0.96828,1.03387,1.19479,0.77561,0.65237,0.73464,0.51244,1.06773,1.01967,1.21331,0.000155541,0.000155541,0.000155541
21,2704.64,0.94516,0.93498,1.16546,0.771,0.65302,0.72504,0.5077,1.07168,1.05138,1.22734,0.00014178,0.00014178,0.00014178
22,2823.29,0.9215,0.87164,1.15156,0.77618,0.6682,0.73809,0.52082,1.05904,1.01634,1.22433,0.000128019,0.000128019,0.000128019
23,2943.9,0.90091,0.82871,1.13614,0.78244,0.66508,0.73946,0.52052,1.06948,1.01074,1.21696,0.000114258,0.000114258,0.000114258
24,3065.98,0.88827,0.80456,1.12644,0.77794,0.67117,0.74345,0.52301,1.06198,0.99821,1.21828,0.000100497,0.000100497,0.000100497
25,3187.72,0.87643,0.77175,1.11862,0.78371,0.67782,0.74775,0.52657,1.05819,0.98978,1.21776,8.6736e-05,8.6736e-05,8.6736e-05
26,3309.87,0.8602,0.74945,1.10577,0.78735,0.67722,0.75165,0.53223,1.04907,0.98234,1.20591,7.2975e-05,7.2975e-05,7.2975e-05
27,3430.97,0.84737,0.7271,1.09778,0.79418,0.678,0.75205,0.53665,1.0449,0.97916,1.20343,5.9214e-05,5.9214e-05,5.9214e-05
28,3551.01,0.8388,0.71757,1.09215,0.79596,0.68197,0.7545,0.53945,1.04735,0.96851,1.20284,4.5453e-05,4.5453e-05,4.5453e-05
29,3670.63,0.83221,0.70318,1.08743,0.79488,0.68324,0.7581,0.54252,1.03845,0.9524,1.19671,3.1692e-05,3.1692e-05,3.1692e-05
30,3790.11,0.82188,0.6865,1.07903,0.79192,0.69126,0.75896,0.54282,1.03872,0.95563,1.19841,1.7931e-05,1.7931e-05,1.7931e-05
