Delta,Worst-case ESS,Total Gradients,ESS per Gradient
0.25,17.90428266033068,1564810,1.1441825308076176e-05
0.3,3.6599034005450393,1690630,2.16481631140169e-06
0.35,9.458966543137539,1720466,5.4979096030596e-06
0.4,38.79675240948519,1826058,2.1246177508866194e-05
0.44999999999999996,12.220751007063894,1823916,6.700281705442517e-06
0.5,18.042172349321138,1960498,9.202851698558804e-06
0.55,16.953302359369193,2102418,8.063716330134727e-06
0.6,1.974868260990906,2097732,9.41430202233129e-07
0.6499999999999999,7.305548890534002,2144284,3.4069875494729254e-06
0.7,10.093640144446244,2212894,4.561284970923254e-06
0.75,10.98186278977843,2371098,4.631551622825556e-06
0.7999999999999999,9.574483801396937,2503126,3.825010727145552e-06
0.85,26.014987275224957,2848862,9.131711987181182e-06
0.8999999999999999,5.735220743892789,2969710,1.9312393277097055e-06
0.95,0.958194020534251,3333486,2.8744504117738935e-07
