epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.664,1.2628,3.57686,1.39892,0.44922,0.33765,0.31452,0.19379,1.37561,2.25106,1.48055,0.000138115,0.000138115,0.000138115
2,313.474,1.32017,2.34584,1.45018,0.52687,0.4505,0.45455,0.28009,1.35836,1.83781,1.49743,0.00026797,0.00026797,0.00026797
3,435.157,1.30546,2.11743,1.44154,0.48331,0.38091,0.37181,0.21151,1.46657,1.97371,1.58101,0.000388651,0.000388651,0.000388651
4,559.094,1.31009,2.037,1.44833,0.50718,0.39092,0.39363,0.23092,1.4511,1.95937,1.56227,0.000375717,0.000375717,0.000375717
5,682.592,1.28208,1.91124,1.43111,0.52995,0.42092,0.43188,0.26291,1.38218,1.79823,1.53487,0.000361956,0.000361956,0.000361956
6,804.634,1.24804,1.82769,1.4083,0.5381,0.4071,0.42363,0.26059,1.38353,1.8396,1.48367,0.000348195,0.000348195,0.000348195
7,928.277,1.22845,1.74521,1.39081,0.56401,0.45496,0.4747,0.28732,1.38635,1.68559,1.4789,0.000334434,0.000334434,0.000334434
8,1049.86,1.21499,1.68103,1.38349,0.57813,0.46731,0.48461,0.29921,1.35167,1.68591,1.46889,0.000320673,0.000320673,0.000320673
9,1172.24,1.20196,1.62136,1.3734,0.56706,0.46777,0.49034,0.31106,1.32115,1.64349,1.43738,0.000306912,0.000306912,0.000306912
10,1296.23,1.19016,1.58808,1.36242,0.63294,0.51362,0.55632,0.35908,1.28371,1.4851,1.40931,0.000293151,0.000293151,0.000293151
11,1419.62,1.18322,1.53826,1.35683,0.65641,0.51706,0.56912,0.36334,1.29075,1.43376,1.40606,0.00027939,0.00027939,0.00027939
12,1542.27,1.15438,1.48334,1.33608,0.63174,0.51769,0.5579,0.36175,1.26991,1.47128,1.40084,0.000265629,0.000265629,0.000265629
13,1665.76,1.14453,1.45854,1.32721,0.64289,0.52429,0.57316,0.37219,1.27183,1.43659,1.38346,0.000251868,0.000251868,0.000251868
14,1788.33,1.13307,1.40748,1.31701,0.63941,0.54583,0.58872,0.38129,1.2675,1.41637,1.38497,0.000238107,0.000238107,0.000238107
15,1909.24,1.11945,1.36881,1.30668,0.66795,0.53919,0.58787,0.37735,1.27047,1.36501,1.38117,0.000224346,0.000224346,0.000224346
16,2032.65,1.10485,1.34056,1.29708,0.66609,0.55354,0.60904,0.3975,1.25316,1.33219,1.36756,0.000210585,0.000210585,0.000210585
17,2153.96,1.09729,1.30602,1.28836,0.69281,0.53959,0.60798,0.40172,1.2308,1.33249,1.35468,0.000196824,0.000196824,0.000196824
18,2276.52,1.0846,1.28265,1.28419,0.66312,0.56632,0.61206,0.40204,1.24225,1.30863,1.35333,0.000183063,0.000183063,0.000183063
19,2398.67,1.07858,1.25367,1.27108,0.70403,0.56523,0.62576,0.41278,1.22495,1.31172,1.34626,0.000169302,0.000169302,0.000169302
20,2519.55,1.06288,1.22876,1.26924,0.709,0.56839,0.63412,0.42136,1.21817,1.25435,1.33133,0.000155541,0.000155541,0.000155541
21,2643.65,1.05608,1.12776,1.25628,0.70346,0.56585,0.62478,0.41646,1.20381,1.27882,1.33086,0.00014178,0.00014178,0.00014178
22,2761.16,1.03793,1.04665,1.24319,0.70894,0.57436,0.63991,0.42891,1.19986,1.24042,1.33335,0.000128019,0.000128019,0.000128019
23,2880.04,1.01562,1.0073,1.22562,0.71575,0.58251,0.64325,0.43121,1.21271,1.23456,1.33655,0.000114258,0.000114258,0.000114258
24,2998.49,0.99499,0.96894,1.20853,0.73166,0.58593,0.65126,0.43981,1.19216,1.21268,1.32277,0.000100497,0.000100497,0.000100497
25,3115.67,0.99033,0.93838,1.20648,0.71926,0.58928,0.64797,0.43511,1.19717,1.21754,1.32756,8.6736e-05,8.6736e-05,8.6736e-05
26,3233.43,0.96678,0.9088,1.18873,0.72688,0.59639,0.6584,0.44519,1.19192,1.20197,1.3228,7.2975e-05,7.2975e-05,7.2975e-05
27,3351.38,0.94655,0.8806,1.17905,0.73114,0.60153,0.66198,0.44777,1.17788,1.18806,1.31633,5.9214e-05,5.9214e-05,5.9214e-05
28,3468.5,0.93827,0.86684,1.16852,0.72355,0.60315,0.66106,0.45145,1.17949,1.18648,1.31122,4.5453e-05,4.5453e-05,4.5453e-05
29,3584.54,0.92788,0.84927,1.16256,0.74382,0.60151,0.66785,0.4564,1.17164,1.17203,1.30694,3.1692e-05,3.1692e-05,3.1692e-05
30,3703.18,0.92131,0.82974,1.15359,0.7317,0.6092,0.66801,0.45725,1.1715,1.16846,1.30774,1.7931e-05,1.7931e-05,1.7931e-05
