Delta,nu ESS,Total Gradients,ESS per Gradient
0.25,6.175749024407203,173054,3.568683199699055e-05
0.3,36.038519720366125,203682,0.0001769352211799085
0.35,4.506124516924193,154538,2.915868276361926e-05
0.4,6.078853481169088,196766,3.0893820483056466e-05
0.44999999999999996,6.733014903010405,198168,3.397629739922896e-05
0.5,4.326415023722883,191520,2.25898862976341e-05
0.55,7.4336781321445855,193874,3.834283159239808e-05
0.6,3.217652139990126,207166,1.553175781735481e-05
0.6499999999999999,3.0971730896538228,160290,1.9322310123238022e-05
0.7,3.213998193896071,202134,1.5900334401417232e-05
0.75,6.1036148624258,246836,2.47274095449035e-05
0.7999999999999999,5.673227599258881,221572,2.5604442796286902e-05
0.85,6.051937161309378,251262,2.408616170097101e-05
0.8999999999999999,9.081363757248763,292534,3.104378895187829e-05
0.95,5.673074189769977,397120,1.4285541372305544e-05
